Contract,Opening Price,High,Low,Volume,Turnover,Open Interest,Open Interest Change,Closing Price,Settlement Price,Previous Settlement Price,Price Change1,Price Change2
IF2412,3985.0,3992.0,3853.2,115044,13558306.488,164352,6031,3860.8,3884.0,3977.4,-116.6,-93.4
IF2501,3987.0,3993.2,3852.2,4881,573715.170,5982,1387,3863.0,3881.8,3978.2,-115.2,-96.4
IF2503,3988.0,3992.6,3855.0,32306,3807894.504,78840,2656,3863.0,3885.8,3979.2,-116.2,-93.4
IF2506,3967.4,3975.8,3838.2,9346,1095562.008,25495,2938,3845.2,3868.8,3961.6,-116.4,-92.8
Subtotal,,,,161577,19035478.170,274669,13012,,,,,
IC2412,5929.0,5937.4,5703.6,87656,10219555.192,138053,7937,5709.0,5748.6,5922.8,-213.8,-174.2
IC2501,5901.0,5913.0,5679.4,4504,521787.220,6926,1717,5685.6,5725.2,5897.8,-212.2,-172.6
IC2503,5843.8,5864.6,5631.0,25846,2974198.516,71829,4692,5635.2,5679.8,5850.4,-215.2,-170.6
IC2506,5759.4,5769.4,5538.6,8559,968267.540,24248,1143,5544.8,5589.4,5753.8,-209.0,-164.4
Subtotal,,,,126565,14683808.468,241056,15489,,,,,
IM2412,6173.0,6209.6,5943.0,197788,24135428.860,189155,2133,5951.2,6009.0,6166.0,-214.8,-157.0
IM2501,6133.2,6178.2,5908.4,8000,970865.748,9274,2681,5916.6,5970.8,6134.6,-218.0,-163.8
IM2503,6061.0,6098.0,5826.4,53719,6435767.636,94136,678,5838.2,5896.4,6058.0,-219.8,-161.6
IM2506,5956.2,5983.2,5707.2,17798,2089719.516,38528,2658,5707.4,5774.6,5944.0,-236.6,-169.4
Subtotal,,,,277305,33631781.760,331093,8150,,,,,
IH2412,2688.0,2691.2,2601.0,57831,4590381.876,79811,5276,2603.6,2619.0,2681.0,-77.4,-62.0
IH2501,2687.0,2690.8,2601.0,2173,172179.906,2581,880,2606.0,2617.0,2683.6,-77.6,-66.6
IH2503,2690.6,2696.4,2607.4,15916,1265284.614,30895,1399,2610.2,2625.4,2686.0,-75.8,-60.6
IH2506,2689.8,2696.2,2607.4,3790,301275.606,9103,805,2610.0,2625.2,2686.2,-76.2,-61.0
Subtotal,,,,79710,6329122.002,122390,8360,,,,,
TS2412,102.614,102.638,102.544,19700,4041900.540,21147,-3476,102.572,102.556,102.630,-0.058,-0.074
TS2503,102.626,102.632,102.572,26016,5338202.036,49368,3142,102.608,102.594,102.610,-0.002,-0.016
TS2506,102.622,102.638,102.606,1186,243405.372,1860,580,102.638,102.624,102.610,0.028,0.014
Subtotal,,,,46902,9623507.948,72375,246,,,,,
TF2412,105.360,105.395,105.230,63554,6691008.850,66544,-15818,105.280,105.260,105.350,-0.070,-0.090
TF2503,105.445,105.470,105.335,37101,3909695.410,79128,9075,105.385,105.375,105.410,-0.025,-0.035
TF2506,105.430,105.435,105.345,702,73977.345,1927,234,105.385,105.380,105.395,-0.010,-0.015
Subtotal,,,,101357,10674681.605,147599,-6509,,,,,
T2412,106.820,106.850,106.725,56394,6022228.780,62880,-27827,106.790,106.780,106.820,-0.030,-0.040
T2503,106.935,107.010,106.845,81710,8735779.080,157098,25252,106.930,106.910,106.910,0.020,0.000
T2506,106.810,106.900,106.780,2572,274788.470,10738,839,106.890,106.855,106.770,0.120,0.085
Subtotal,,,,140676,15032796.330,230716,-1736,,,,,
TL2412,113.090,113.270,112.800,22828,2580601.210,27667,-5804,113.220,113.180,112.790,0.430,0.390
TL2503,113.100,113.470,112.950,60601,6860826.970,63179,8809,113.410,113.340,112.870,0.540,0.470
TL2506,112.690,113.000,112.500,5094,574364.370,12764,1110,112.970,112.880,112.460,0.510,0.420
Subtotal,,,,88523,10015792.550,103610,4115,,,,,
Total,,,,1022615,119026968.833,1523508,41127,,,,,
