Contract,Opening Price,High,Low,Closing Price,Price Change,Open Interest,Open Interest Change,Week-End Settlement,Volume,Turnover
IF2412,3997.8,4035.6,3853.2,3860.8,-114.4,164352,-13479,3884.0,561436,66751909.896
IF2501,4005.2,4037.4,3852.2,3863.0,-137.0,5982,5982,3881.8,20716,2460626.856
IF2503,4003.0,4043.6,3855.0,3863.0,-118.0,78840,2131,3885.8,152826,18186674.838
IF2506,3985.4,4031.0,3838.2,3845.2,-126.0,25495,4404,3868.8,45271,5365075.746
Subtotal,,,,,,274669,-962,,780249,92764287.336
IC2412,5947.0,5979.8,5703.6,5709.0,-204.2,138053,-8915,5748.6,433764,50985836.036
IC2501,5927.0,5959.2,5679.4,5685.6,-260.8,6926,6926,5725.2,23077,2700744.932
IC2503,5894.4,5906.0,5631.0,5635.2,-218.2,71829,3138,5679.8,122474,14224383.500
IC2506,5777.2,5811.8,5538.6,5544.8,-218.8,24248,3293,5589.4,41786,4778686.432
Subtotal,,,,,,241056,4442,,621101,72689650.900
IM2412,6141.2,6224.0,5901.4,5951.2,-151.8,189155,-10628,6009.0,1018569,123973090.200
IM2501,6122.0,6190.8,5873.0,5916.6,-224.2,9274,9274,5970.8,34262,4149555.856
IM2503,6030.4,6113.8,5804.2,5838.2,-164.4,94136,-701,5896.4,256495,30685376.024
IM2506,5929.0,5999.0,5700.0,5707.4,-188.4,38528,3697,5774.6,82925,9730562.556
Subtotal,,,,,,331093,1642,,1392251,168538584.636
IH2412,2690.0,2734.0,2601.0,2603.6,-72.4,79811,928,2619.0,284913,22872975.042
IH2501,2696.6,2735.4,2601.0,2606.0,-86.8,2581,2581,2617.0,8223,658739.886
IH2503,2690.0,2739.4,2607.4,2610.2,-73.4,30895,1078,2625.4,71065,5714887.770
IH2506,2702.4,2739.4,2607.4,2610.0,-74.4,9103,788,2625.2,19464,1565554.998
Subtotal,,,,,,122390,5375,,383665,30812157.696
TS2412,102.630,102.678,102.544,102.572,-0.070,21147,-18243,102.556,123852,25421714.468
TS2503,102.510,102.632,102.474,102.608,0.096,49368,18949,102.594,95151,19520359.500
TS2506,102.482,102.638,102.480,102.638,0.136,1860,953,102.624,2394,491214.544
Subtotal,,,,,,72375,1659,,221397,45433288.512
TF2412,105.215,105.420,105.105,105.280,0.090,66544,-34922,105.260,251942,26517647.780
TF2503,105.260,105.470,105.110,105.385,0.175,79128,38198,105.375,126498,13321487.290
TF2506,105.170,105.435,105.085,105.385,0.205,1927,962,105.380,2275,239579.880
Subtotal,,,,,,147599,4238,,380715,40078714.950
T2412,106.655,106.875,106.510,106.790,0.080,62880,-73995,106.780,264382,28207995.880
T2503,106.700,107.010,106.500,106.930,0.215,157098,81940,106.910,240237,25655362.980
T2506,106.430,106.900,106.335,106.890,0.395,10738,3063,106.855,8804,939041.745
Subtotal,,,,,,230716,11008,,513423,54802400.605
TL2412,112.940,113.270,111.810,113.220,0.120,27667,-29464,113.180,202781,22795053.340
TL2503,112.790,113.470,111.750,113.410,0.420,63179,25033,113.340,202063,22757778.770
TL2506,112.370,113.000,111.360,112.970,0.440,12764,4973,112.880,18751,2103157.810
Subtotal,,,,,,103610,542,,423595,47655989.920
Total,,,,,,1523508,27944,,4716396,552775074.555
